epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0512,1.13359,2.6935,0.8837,0.01723,0.14013,0.02555,0.00529,1.02757,3.77223,0.85143,0.000406746,0.000406746,0.000406746
2,112.54,1.16025,1.44092,0.88292,0.96653,0.18012,0.22613,0.13596,1.07861,2.46657,0.85474,0.000807109,0.000807109,0.000807109
3,161.025,1.1863,1.24934,0.88855,0.73536,0.25411,0.24706,0.1553,1.25515,1.52666,0.87908,0.00119097,0.00119097,0.00119097
4,207.312,1.23701,1.24446,0.89281,0.71984,0.26169,0.26422,0.16921,1.10948,1.10767,0.8746,0.00117575,0.00117575,0.00117575
5,253.823,1.15978,1.21368,0.88232,0.72261,0.23857,0.26112,0.18302,0.97192,1.02395,0.87459,0.001151,0.001151,0.001151
6,300.054,1.04793,1.12872,0.87275,0.46123,0.33393,0.27075,0.19248,0.92695,0.87854,0.86793,0.00112625,0.00112625,0.00112625
7,346.935,1.02885,1.0782,0.86292,0.76501,0.26293,0.2769,0.20358,0.87414,0.88336,0.85206,0.0011015,0.0011015,0.0011015
8,393.689,0.93067,1.02606,0.84962,0.52679,0.31094,0.28723,0.21503,0.83359,0.81255,0.8452,0.00107675,0.00107675,0.00107675
9,440.519,0.95315,0.98179,0.8491,0.7968,0.29746,0.33403,0.23894,0.84759,0.78905,0.84574,0.001052,0.001052,0.001052
10,487.02,0.95115,0.95936,0.84995,0.62822,0.33406,0.41259,0.28396,0.80343,0.75724,0.83895,0.00102725,0.00102725,0.00102725
11,533.572,0.94021,0.91017,0.84708,0.69554,0.46685,0.50325,0.34411,0.81903,0.72828,0.83838,0.0010025,0.0010025,0.0010025
12,580.105,0.97252,0.88109,0.84202,0.6945,0.53905,0.52264,0.33702,0.87054,0.71391,0.84129,0.00097775,0.00097775,0.00097775
13,626.74,0.94341,0.85198,0.84021,0.74413,0.51442,0.58817,0.40403,0.80368,0.67534,0.83574,0.000953,0.000953,0.000953
14,673.297,0.94501,0.82664,0.83989,0.69242,0.6142,0.64349,0.43864,0.77911,0.652,0.83594,0.00092825,0.00092825,0.00092825
15,719.952,0.88526,0.75599,0.8336,0.65306,0.67972,0.6255,0.43145,0.76231,0.6093,0.83715,0.0009035,0.0009035,0.0009035
16,766.575,0.87999,0.74779,0.83371,0.77249,0.64502,0.693,0.46278,0.76525,0.61051,0.83801,0.00087875,0.00087875,0.00087875
17,813.022,0.89336,0.74113,0.83897,0.85565,0.66224,0.7328,0.50929,0.77737,0.5988,0.83548,0.000854,0.000854,0.000854
18,859.737,0.87347,0.71414,0.83868,0.76232,0.7098,0.69858,0.46895,0.76936,0.58801,0.83202,0.00082925,0.00082925,0.00082925
19,906.766,0.87387,0.69335,0.83516,0.84437,0.6976,0.77176,0.53026,0.75866,0.56419,0.8322,0.0008045,0.0008045,0.0008045
20,953.815,0.8456,0.67801,0.83812,0.82622,0.74412,0.79109,0.54225,0.76909,0.53566,0.83078,0.00077975,0.00077975,0.00077975
21,1000.53,0.87899,0.67541,0.83287,0.92476,0.70765,0.77945,0.53569,0.7395,0.5279,0.82839,0.000755,0.000755,0.000755
22,1047.88,0.84492,0.64045,0.82883,0.92896,0.70355,0.80352,0.56424,0.72162,0.51864,0.828,0.00073025,0.00073025,0.00073025
23,1094.72,0.8394,0.6308,0.82939,0.97188,0.72661,0.80168,0.55328,0.76621,0.52712,0.83221,0.0007055,0.0007055,0.0007055
